자치구,시설위치,운영관리
서울특별시 광진구,광진경찰서,
서울특별시 광진구,광진경찰서,
서울특별시 광진구,광진소방서,
서울특별시 광진구,광진소방서,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우편집중국,
서울특별시 광진구,광진우체국,
서울특별시 광진구,광진구청,
서울특별시 광진구,광진구청,
서울특별시 광진구,광진구청,
서울특별시 광진구,화양동 주민자치센터,
서울특별시 광진구,서울시 물연구원,
서울특별시 광진구,서울시 물연구원,
서울특별시 광진구,서울시 물연구원,
서울특별시 광진구,서울시 물연구원,
서울특별시 광진구,화양지구대,
서울특별시 광진구,광나루지구대,
서울특별시 광진구,능동119안전센터,
서울특별시 광진구,구의119안전센터,
서울특별시 광진구,구의120안전센터,
서울특별시 광진구,뚝섬 수난구조대,
서울특별시 광진구,아차산배수지체육공원,
서울특별시 광진구,보건복지행정타운,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,세종대학교,
서울특별시 광진구,건국대학교 행정관 뒤(사범대학방향 계단옆),
서울특별시 광진구,건국대학교 경영관 뒤,
서울특별시 광진구,건국대학교 예술문화관 뒤,
서울특별시 광진구,건국대학교 상허기념도서관 동측,
서울특별시 광진구,건국대학교 생명과학관 뒤,
서울특별시 광진구,건국대학교 법학관 앞,
서울특별시 광진구,건국대학교 산학협동관 주차장,
서울특별시 광진구,건국대학교 수의학관 주차장,
서울특별시 광진구,건국대학교 새천년관 지하2층 출입문 옆,
서울특별시 광진구,"건국대학교 건축관 앞, 18해봉부동산학과 뒤",
서울특별시 광진구,건국대학교 인문학관,
서울특별시 광진구,건국대학교 공학관 중앙정원,
서울특별시 광진구,"건국대학교, 공학관 C동 뒤",
서울특별시 광진구,건국대학교 신공학관 앞,
서울특별시 광진구,건국대학교 신공학관 앞,
서울특별시 광진구,건국대학교 과학관 북측,
서울특별시 광진구,건국대학교 쿨하우스 뒤,
서울특별시 광진구,건국대학교 황소상공원 앞(누렁),
서울특별시 광진구,건국대학교 황소상공원 앞(검정),
서울특별시 광진구,건국대학교 황소상공원 앞(검정),
서울특별시 광진구,건국대학교 황소상공원 앞(검정),
서울특별시 광진구,경희생생한방병원,
서울특별시 광진구,서울프라임병원,
서울특별시 광진구,국립정신건강센터,
서울특별시 광진구,세종대학교 대양홀,
서울특별시 광진구,유니버설아트센터,
서울특별시 광진구,건국대학교새천년관 대공연장,
서울특별시 광진구,세종대학교 학생회관 대공연장,
서울특별시 광진구,이마트 자양점,
서울특별시 광진구,롯데백화점 건대스타시티점,
서울특별시 광진구,커먼그라운드,
서울특별시 광진구,커먼그라운드,
서울특별시 광진구,커먼그라운드,
서울특별시 광진구,테크노마트21,
서울특별시 광진구,테크노마트22,
서울특별시 광진구,테크노마트23,
서울특별시 광진구,테크노마트24,
서울특별시 광진구,테크노마트25,
서울특별시 광진구,SK 네트웍스 (주) 워커힐,
서울특별시 광진구,SK 네트웍스 (주) 워커힐,
서울특별시 광진구,서울특별시 광진구 능동로 90,
서울특별시 광진구,호텔더디자이너스건대,
서울특별시 광진구,호텔컬리넌건대2,
서울특별시 광진구,호텔더디자이너스프리미어건대,
서울특별시 광진구,호텔더디자이너스프리미어건대,
서울특별시 광진구,매일온천탕,
서울특별시 광진구,실로암 목욕장,
서울특별시 광진구,실로암 목욕장,
서울특별시 광진구,프라임 노다지 사우나,
서울특별시 광진구,프라임 노다지 사우나,
서울특별시 광진구,한빛대중사우나,
서울특별시 광진구,칠산레져대중사우나,
서울특별시 광진구,강변스파랜드 24시 불가마,
서울특별시 광진구,강변스파랜드 25시 불가마,
서울특별시 광진구,명월관,
서울특별시 광진구,중일가든,
서울특별시 광진구,신선설농탕,
서울특별시 광진구,코마찌,
서울특별시 광진구,시골청년맥주,
서울특별시 광진구,올레,
서울특별시 광진구,콴차이,
서울특별시 광진구,백년회관서서갈비아차산점,
서울특별시 광진구,짬뽕지존 아차산점,
서울특별시 광진구,망향비빔국수,
서울특별시 광진구,삼일민물장어,
서울특별시 광진구,아차산할아버지손두부,
서울특별시 광진구,탐앤탐스블랙그레이트점 앤 와인탐탐,
서울특별시 광진구,꽃빙,
서울특별시 광진구,태평양수산회세꼬시,
서울특별시 광진구,돌체,
서울특별시 광진구,투썸플레이스 군자역점,
서울특별시 광진구,명륜진사갈비아차산역점,
서울특별시 광진구,신양,
서울특별시 광진구,고기원칙구의역점,
서울특별시 광진구,돈돈구이 이층집,
서울특별시 광진구,카페오로시,
서울특별시 광진구,송림식당,
서울특별시 광진구,다트프린스건대점,
서울특별시 광진구,더이퀼리브리엄커피,
서울특별시 광진구,이디야,
서울특별시 광진구,탐앤탐스탐스커버리건대점,
서울특별시 광진구,다원,
서울특별시 광진구,제주탐하리,
서울특별시 광진구,기찬아구찜,
서울특별시 광진구,명륜진사갈비중곡점,
서울특별시 광진구,마당족발,
서울특별시 광진구,카페온더플랜건대점,
서울특별시 광진구,허니룸 건대,
서울특별시 광진구,꿈꾸다917,
서울특별시 광진구,커피마켓,
서울특별시 광진구,카페베네건대2호점,
서울특별시 광진구,탐앤탐스(건대),
서울특별시 광진구,탐앤탐스 광진화양점,
서울특별시 광진구,새로난당구장,
서울특별시 광진구,블루오션당구장(16대),
서울특별시 광진구,VIP당구장,
서울특별시 광진구,마이큐당구장,
서울특별시 광진구,킹 당구장,
서울특별시 광진구,플라밍고당구장,
서울특별시 광진구,큐당구장,
서울특별시 광진구,스포츠 당구장,
서울특별시 광진구,공원당구장,
서울특별시 광진구,삼진스트라이크존 (야구종목),
서울특별시 광진구,SG  스크린 골프존,
서울특별시 광진구,세종스크린골프,
서울특별시 광진구,양지당구장,
서울특별시 광진구,퓨전당구장,
서울특별시 광진구,보스당구장,
서울특별시 광진구,로얄당구장,
서울특별시 광진구,한큐당구장,
서울특별시 광진구,우리당구장,
서울특별시 광진구,공원스크린골프,
서울특별시 광진구,NK 골프클럽,
서울특별시 광진구,준당구장,
서울특별시 광진구,제우스 당구장,
서울특별시 광진구,누비 포켓 클럽,
서울특별시 광진구,용마당구장,
서울특별시 광진구,브라보 캐롬클럽 군자,
서울특별시 광진구,스마일 당구장,
서울특별시 광진구,이글스크린골프,
서울특별시 광진구,제이디 골프 연습장,
서울특별시 광진구,중곡당구장,
서울특별시 광진구,드림당구장,
서울특별시 광진구,중곡스크린골프,
서울특별시 광진구,신성 스크린 골프,
서울특별시 광진구,세븐당구클럽(7대),
서울특별시 광진구,오렌지 당구장,
서울특별시 광진구,핑당구클럽,
서울특별시 광진구,비바체 당구장,
서울특별시 광진구,에이스 당구클럽,
서울특별시 광진구,싱글골프연습장,
서울특별시 광진구,SBS당구장,
서울특별시 광진구,프로 당구장,
서울특별시 광진구,그린 당구장,
서울특별시 광진구,은 당구클럽,
서울특별시 광진구,광나루 당구장,
서울특별시 광진구,OK스크린골프,
서울특별시 광진구,히트당구장,
서울특별시 광진구,우리 당구장,
서울특별시 광진구,스포츠 당구장,
서울특별시 광진구,공감 당구장,
서울특별시 광진구,미소당구장,
서울특별시 광진구,닉스당구장,
서울특별시 광진구,별당구클럽,
서울특별시 광진구,조이클럽,
서울특별시 광진구,자양CAROM,
서울특별시 광진구,행운 당구장,
서울특별시 광진구,웰플러스 짐 골프연습장,
서울특별시 광진구,웰플러스,
서울특별시 광진구,신성당구클럽,
서울특별시 광진구,허리우드(8대),
서울특별시 광진구,글로벌 당구장,
서울특별시 광진구,마스터스골프클럽(19타석),
서울특별시 광진구,코알라당구장,
서울특별시 광진구,건대 포켓볼 락큐,
서울특별시 광진구,이큐당구클럽,
서울특별시 광진구,석고당구장,
서울특별시 광진구,서광당구장,
서울특별시 광진구,한성 당구장,
서울특별시 광진구,아리랑 당구장,
서울특별시 광진구,라운지당구장,
서울특별시 광진구,제다이 당구장,
서울특별시 광진구,아담당구장,
서울특별시 광진구,킹콩당구장,
서울특별시 광진구,썬 당구장,
서울특별시 광진구,에이스 당구클럽,
서울특별시 광진구,도깨비 당구장,
서울특별시 광진구,킹스 빌리어즈 클럽,
서울특별시 광진구,프로당구클럽,
서울특별시 광진구,뉴메트로골프,
서울특별시 광진구,아차산스크린(스크린 5타석),
서울특별시 광진구,프라임당구클럽,
서울특별시 광진구,Y·N 스크린골프클럽,
서울특별시 광진구,골프앤,
서울특별시 광진구,쉐르빌골프존,
서울특별시 광진구,테크노당구장,
서울특별시 광진구,로얄당구장,
서울특별시 광진구,플러스 당구 클럽,
서울특별시 광진구,Carom Cafe,
서울특별시 광진구,일번지 당구장,
서울특별시 광진구,강변 당구장,
서울특별시 광진구,나인 당구장,
서울특별시 광진구,필 빌리어드 클럽,
서울특별시 광진구,현 당구클럽,
서울특별시 광진구,퀸당구장,
서울특별시 광진구,에코스PC방 구의점,
서울특별시 광진구,아이넷 폴리스,
서울특별시 광진구,엔탑피시방,
서울특별시 광진구,PC슬롯게임장,
서울특별시 광진구,TEN PC,
서울특별시 광진구,제로백PC 아차산역점,
서울특별시 광진구,쓰리팝PC방,
서울특별시 광진구,사이버리아 PC,
서울특별시 광진구,리그 PC 카페,
서울특별시 광진구,엔탑 PC방,
서울특별시 광진구,블랙PC,
서울특별시 광진구,맥스피드PC 구의본점,
서울특별시 광진구,엔탑 PC방,
서울특별시 광진구,인터월드PC방,
서울특별시 광진구,엔탑PC방,
서울특별시 광진구,군자역 리그 PC,
서울특별시 광진구,맵스 PC방,
서울특별시 광진구,제닉스 아레나 PC,
서울특별시 광진구,비원PC,
서울특별시 광진구,피에스타PC방,
서울특별시 광진구,쓰리팝PC방,
서울특별시 광진구,피씨앤쿡,
서울특별시 광진구,제우스PC,
서울특별시 광진구,5번 출구 피씨방,
서울특별시 광진구,PC 마루,
서울특별시 광진구,루미너스PC방,
서울특별시 광진구,세븐PC,
서울특별시 광진구,나인 PC방,
서울특별시 광진구,쇼타임 PC방 (중곡점),
서울특별시 광진구,아센,
서울특별시 광진구,티라미수,
서울특별시 광진구,고릴라 세븐PC방 중곡점,
서울특별시 광진구,아레나피씨,
서울특별시 광진구,1%PC아레나,
서울특별시 광진구,오지구지리는PC방,
서울특별시 광진구,비원 PC방,
서울특별시 광진구,G PRO PC&CAFE,
서울특별시 광진구,비원 건대2호점,
서울특별시 광진구,비원,
서울특별시 광진구,넥스트PC카페,
서울특별시 광진구,e-sports center 건대점,
서울특별시 광진구,제노 PC ZONE,
서울특별시 광진구,포포PC방 건대점,
서울특별시 광진구,놀숲 건대점,
서울특별시 광진구,만화카페 라이브러리,
서울특별시 광진구,동서울터미널 앞 전면보도,
서울특별시 광진구,아차산배수지공원,
